Initial balance;End balance;account number;book date;amount;currency;transaction type;counterparty's name;counterparty's address;counterparty's account;counterparty's bank;transaction details;balance after transaction;CUI Counterparty
40988,95;;;02.06.2026;;;;;;;;;;
;;RO96INGB0000999912479494;02.06.2026;-457,10;RON;POS purchase;ROMPETROL DWS R081 C1;    PIPERA   RO;;N; GRIGORE FILIMON Card No: **** 3421 Date: 31-05-2026 Auth. Code: 631085;40531,85;
;;RO96INGB0000999912479494;08.06.2026;-25,00;RON;Transfer ING Business;Coman N Ciprian Expert Contabil;       ;RO08BTRL01601202M17970XX;N; Instant reference: 1780914896626777164009 Bank reference 71cf08f6-b8ab-3adf-b8b0-7399ff939582;40506,85;
;;RO96INGB0000999912479494;08.06.2026;-0,45;RON;Service Fee;;       ;;N;;40506,40;
;;RO96INGB0000999912479494;08.06.2026;-225,00;RON;Transfer ING Business;SC Coman Aktiv Serv SRL;       ;RO32INGB0000999909655909;N; Bank reference fb54dad3-cfea-3833-957b-89afe667b15a;40281,40;
;;RO96INGB0000999912479494;10.06.2026;-2695,00;RON;Transfer ING Business;Grigore Filimon   ;       ;RO02INGB0000999910829858;N; Bank reference 0524b6fa-d874-338c-a2ba-bb525b06ae6c;37586,40;
;;RO96INGB0000999912479494;10.06.2026;-55,00;RON;Transfer ING Business;PROCONS AUDIT-EXPERT SRL;       ;RO29INGB0000999909281058;N; Bank reference afbefaf7-61f9-30b2-9038-f7fd93df4292;37531,40;
;;RO96INGB0000999912479494;19.06.2026;-114,31;RON;POS purchase;OPENAI *CHATGPT SUBSCR;    OPENAI.COM   US;;N; GRIGORE FILIMON Card No: **** 3421 Date: 18-06-2026 Auth. Code: 474543 Amount: 24,20 USD Settlement Amount: 21,09 EUR Rate: 5.42;37417,09;
;;RO96INGB0000999912479494;19.06.2026;-52,33;RON;POS purchase;WWW.ORANGE.RO CONTUL-M;    BUCURESTI   RO;;N; GRIGORE FILIMON Card No: **** 3421 Date: 17-06-2026 Auth. Code: 062556;37364,76;
;;RO96INGB0000999912479494;19.06.2026;-3927,00;RON;Transfer ING Business;Trezorerie operativa Sector 1/41481580;       ;RO14TREZ7015503XXXXXXXXX;N; Internal reference: 953601288 Bank reference 050002100000000000000197278918;33437,76;
;;RO96INGB0000999912479494;19.06.2026;-0,51;RON;Service Fee;;       ;;N;;33437,25;
;;RO96INGB0000999912479494;19.06.2026;-101,00;RON;Transfer ING Business;CAM/41481580;       ;RO54TREZ70120A470300XXXX;N; Internal reference: 953601294 Bank reference 050002100000000000000197278963;33336,25;
;;RO96INGB0000999912479494;19.06.2026;-0,51;RON;Service Fee;;       ;;N;;33335,74;
;;RO96INGB0000999912479494;20.06.2026;-247,09;RON;POS purchase;ORCT BUCURESTI;    BUCURESTI   RO;;N; GRIGORE FILIMON Card No: **** 3421 Date: 17-06-2026 Auth. Code: 500382;33088,65;
;;RO96INGB0000999912479494;25.06.2026;26213,76;RON;Incoming funds;HOLYCODE SRL;       ;RO47RZBR0000060022862253;N; /ROC/Servicii dezvoltare software 0 6.2026 cf. contract 17/09.08.2023 Internal reference: 954344576;59302,41;44498625
;;RO96INGB0000999912479494;28.06.2026;-118,08;RON;POS purchase;ANTHROPIC* CLAUDE SUB;    ANTHROPIC.COM   US;;N; GRIGORE FILIMON Card No: **** 3421 Date: 26-06-2026 Auth. Code: 010788 Amount: 21,78 EUR Settlement Amount: 21,78 EUR Rate: 5.4216;59184,33;
;;RO96INGB0000999912479494;30.06.2026;-131,38;RON;POS purchase;FIGMA;    FIGMA.COM   US;;N; GRIGORE FILIMON Card No: **** 3421 Date: 28-06-2026 Auth. Code: 000230 Amount: 24,20 EUR Settlement Amount: 24,20 EUR Rate: 5.4288;59052,95;
;;RO96INGB0000999912479494;30.06.2026;-40,00;RON;Service Fee;;       ;;N; Monthly fee ING FIX UTIL offer 40;59012,95;
;59012,95;;30.06.2026;;;;;;;;;;
